institute,type,country,us_state
not_found,not_found,not_found,not_found
"Division of Pulmonary and Critical Care, Department of Medicine, Northwestern University",University,United States,Illinois
"Section for Biomedical Informatics and Data Science, Yale University School of Medicine",University,United States,Connecticut
"OpenAI, San Francisco, CA 94110, USA",Industry,United States,California
"AnsibleHealth, Inc (Mountain View, CA)",Industry,United States,California
"Department of Medical Education, UWorld, LLC (Dallas, TX)",Industry,United States,Texas
"School of Mathematical Sciences, University of Nottingham",University,United Kingdom,???
"Computer Science Department, Jordan Univ. of Science and Technology, Irbid, Jordan",University,Jordan,???
"Department of Mechanical Engineering, Jamia Millia Islamia, New Delhi, India",University,India,???
"Department of Radiology, UTHSC College of Medicine Memphis: The University of Tennessee Health Science Center College of Medicine, Memphis, TN, 38103, USA",University,United States,Tennessee
"Computer Science Department, Faculty of science and information technology, International University, Phnom Penh, Cambodia",University,Cambodia,???
"Computer engineering department, Ankara University, Ankara, Turkey",University,Turkey,???
Borys Grinchenko Kyiv University,University,Ukraine,???
Østfold University College,University,Norway,???
MSKU Department of Computer Engineering,University,Turkey,
Tel Aviv University - Cegla Center for Interdisciplinary Research of the Law,University,Israel,
"The Hadar Jabotinsky Center for Interdisciplinary Research of Financial Markets, Crises and Technology (HJC)",Industry,Israel,???
"Department of Artificial Intelligence, Wrocław University of Science and Technology, Wyb. Wyspiańskiego 27, 50-370 Wrocław, Poland",University,Poland,???
"Department of Plastic and Reconstructive Surgery, Queen Victoria Hospital, West Sussex, United Kingdom",Industry,United Kingdom,???
"University of Denver, United States",University,United States,Denver
"University of North Texas, United States",University,United States,Texas
"CEGEP de Saint-Hyacinthe, Saint-Hyacinthe, Québec, Canada",University,Canada,???
"Mechanical Engineering Department, National University of Singapore, 21 Lower Kent Ridge Road, 119077, Singapore",University,Singapore,???
"Advanced Remanufacturing and Technology Centre, Agency for Science, Technology and Research, 3 Cleantech Loop 637143, Singapore",Industry,Singapore,???
Microsoft AI MVP and Microsoft Regional DirectorGlobal lead - Innovation and Architecture at DXC Technologies India,Industry,India,???
"Department of People and Technology, Roskilde University, Denmark",University,Denmark,???
"Symbiosis Institute of Business Management, Pune Symbiosis International (Deemed University), Pune, India",University,India,???
"ESIC University, Madrid, Spain and University of Economics and Human Sciences, Warsaw, Poland",University,Spain & Poland,???
"Process and Data Science, RWTH Aachen University, Ahornstraße 55, Aachen 52074, North Rhine-Westphalia, Germany",University,Germany,???
"Department of Economics and Political Science, University of Aosta Valley, Aosta, Italy",University,Italy,???
"Department of Marketing, National University of Singapore, Singapore",University,Singapore,???
"Herz- und Diabeteszentrum NRW, Universitätsklinikum der Ruhr-Universität Bochum, Bad Oeynhausen, Deutschland.",University,Germany,???
"Universitätsinstitut für Pflegewissenschaft und -praxis, Paracelsus Medizinische Privatuniversität, Salzburg, Österreich. peter.nydahl@uksh.de.",University,Germany,???
"Section of Dermatology - Department of Clinical Medicine and Surgery, University of Naples Federico II.",University,Italy,???
"Business School, LUT University, Lappeenranta, Finland",University,Finland,
"Department of Head and Neck Oncology, All India Institute of Medical Sciences, 492099, Raipur, Chhattisgarh, India",University,India,???
Melle,,???,???
"Centre for Digital Therapeutics, Techna Institute, University Health Network, Toronto, ON, Canada",University,Canada,???
"School of Public Health Sciences, University of Waterloo, Waterloo, ON, Canada",University,Canada,???
"Department of Surgery, University of Virginia School of Medicine, Charlottesville, Va.",University,United States,Virginia
"School of Psychology and Public Health, La Trobe University, Melbourne, Victoria, Australia",University,Australia,???
"School of Applied Psychology, Griffith University, Brisbane, Queensland, Australia",University,Australia,???
"Maulana Abul Kalam Azad University of Technology, Kolkata, India",University,India,???
Secretaría de Educación Pública,University,Mexico,???
"London South Bank University, School of Engineering, London, UK",University,United Kingdom,???
"Department of Computer Science, University of Southern California, Los Angeles, CA, 90089, USA",University,United States,California
"University of Connecticut, Storrs, CT, 06269, USA",University,United States,Connecticut
"Department of Kinesiology, University of New Hampshire, Durham, NH, USA",University,United States,New Hampshire
"School of Kinesiology & Recreation, Illinois State University, Normal, IL, USA",University,United States,Illinois
"Higher Colleges of Technology, Abu Dhabi, UAE",University,United Arab Emirates,???
"Faculty of Education & Arts, Sohar University, Sohar, OMAN",University,Oman,
"Al-Huson University College, Al-Balqa Applied University, Salt, JORDAN",University,Jordan,
"Emirates College for Advanced Education, Abu Dhabi, UAE",University,United Arab Emirates,???
"The Johns Hopkins University School of Medicine. Baltimore, MD, USA",University,United States,Maryland
"Sarah Cannon Research Institute, Nashville, TN, USA",University,United States,Tennessee
"Bursa Uludag University, Department of Biostatistics, Gorukle Kampusu, 16059 Nilüfer/Bursa/Turkey",University,Turkey,???
"Bursa Uludag University, Department of Urology, Gorukle Kampusu, 16059 Nilüfer/Bursa/Turkey",University,Turkey,???
