institute,country,us_state,type
not_found,not_found,not_found,NA
"Division of Pulmonary and Critical Care, Department of Medicine, Northwestern University",United States,Illinois,Medical Center
"Section for Biomedical Informatics and Data Science, Yale University School of Medicine",United States,Connecticut,Medical Center
"OpenAI, San Francisco, CA 94110, USA",United States,California,Industry
"AnsibleHealth, Inc (Mountain View, CA)",United States,California,Industry
"Department of Medical Education, UWorld, LLC (Dallas, TX)",United States,Texas,Industry
"School of Mathematical Sciences, University of Nottingham",United Kingdom,NA,University
"Computer Science Department, Jordan Univ. of Science and Technology, Irbid, Jordan",Jordan,NA,University
"Department of Mechanical Engineering, Jamia Millia Islamia, New Delhi, India",India,NA,NA
"Department of Radiology, UTHSC College of Medicine Memphis: The University of Tennessee Health Science Center College of Medicine, Memphis, TN, 38103, USA",United States,Tennessee,Medical Center
"Computer Science Department, Faculty of science and information technology, International University, Phnom Penh, Cambodia",Cambodia,NA,University
"Computer engineering department, Ankara University, Ankara, Turkey",Turkey,NA,University
Borys Grinchenko Kyiv University,Ukraine,NA,University
Ã˜stfold University College,Norway,NA,University
MSKU Department of Computer Engineering,Turkey,NA,NA
Tel Aviv University - Cegla Center for Interdisciplinary Research of the Law,Israel,NA,University
"The Hadar Jabotinsky Center for Interdisciplinary Research of Financial Markets, Crises and Technology (HJC)",Israel,NA,NA
"Department of Artificial Intelligence, WrocÅ‚aw University of Science and Technology, Wyb. WyspiaÅ„skiego 27, 50-370 WrocÅ‚aw, Poland",Poland,NA,University
"Department of Plastic and Reconstructive Surgery, Queen Victoria Hospital, West Sussex, United Kingdom",United Kingdom,NA,Medical Center
"University of Denver, United States",United States,Colorado,University
"University of North Texas, United States",United States,Texas,University
"CEGEP de Saint-Hyacinthe, Saint-Hyacinthe, QuÃ©bec, Canada",Canada,NA,NA
"Mechanical Engineering Department, National University of Singapore, 21 Lower Kent Ridge Road, 119077, Singapore",Singapore,NA,University
"Advanced Remanufacturing and Technology Centre, Agency for Science, Technology and Research, 3 Cleantech Loop 637143, Singapore",Singapore,NA,NA
Microsoft AI MVP and Microsoft Regional DirectorGlobal lead - Innovation and Architecture at DXC Technologies India,India,NA,NA
"Department of People and Technology, Roskilde University, Denmark",Denmark,NA,University
"Symbiosis Institute of Business Management, Pune Symbiosis International (Deemed University), Pune, India",India,NA,University
"ESIC University, Madrid, Spain and University of Economics and Human Sciences, Warsaw, Poland",Spain & Poland,NA,University
"Process and Data Science, RWTH Aachen University, AhornstraÃŸe 55, Aachen 52074, North Rhine-Westphalia, Germany",Germany,NA,University
"Department of Economics and Political Science, University of Aosta Valley, Aosta, Italy",Italy,NA,University
"Department of Marketing, National University of Singapore, Singapore",Singapore,NA,University
"Herz- und Diabeteszentrum NRW, UniversitÃ¤tsklinikum der Ruhr-UniversitÃ¤t Bochum, Bad Oeynhausen, Deutschland.",Germany,NA,University
"UniversitÃ¤tsinstitut fÃ¼r Pflegewissenschaft und -praxis, Paracelsus Medizinische PrivatuniversitÃ¤t, Salzburg, Ã–sterreich. peter.nydahl@uksh.de.",Germany,NA,University
"Section of Dermatology - Department of Clinical Medicine and Surgery, University of Naples Federico II.",Italy,NA,Medical Center
"Business School, LUT University, Lappeenranta, Finland",Finland,NA,University
"Department of Head and Neck Oncology, All India Institute of Medical Sciences, 492099, Raipur, Chhattisgarh, India",India,NA,Medical Center
Melle,???,NA,NA
"Centre for Digital Therapeutics, Techna Institute, University Health Network, Toronto, ON, Canada",Canada,NA,University
"School of Public Health Sciences, University of Waterloo, Waterloo, ON, Canada",Canada,NA,Medical Center
"Department of Surgery, University of Virginia School of Medicine, Charlottesville, Va.",United States,Virginia,Medical Center
"School of Psychology and Public Health, La Trobe University, Melbourne, Victoria, Australia",Australia,NA,University
"School of Applied Psychology, Griffith University, Brisbane, Queensland, Australia",Australia,NA,University
"Maulana Abul Kalam Azad University of Technology, Kolkata, India",India,NA,University
SecretarÃ­a de EducaciÃ³n PÃºblica,Mexico,NA,NA
"London South Bank University, School of Engineering, London, UK",United Kingdom,NA,University
"Department of Computer Science, University of Southern California, Los Angeles, CA, 90089, USA",United States,California,University
"University of Connecticut, Storrs, CT, 06269, USA",United States,Connecticut,University
"Department of Kinesiology, University of New Hampshire, Durham, NH, USA",United States,New Hampshire,University
"School of Kinesiology & Recreation, Illinois State University, Normal, IL, USA",United States,Illinois,University
"Higher Colleges of Technology, Abu Dhabi, UAE",United Arab Emirates,NA,University
"Faculty of Education & Arts, Sohar University, Sohar, OMAN",Oman,NA,University
"Al-Huson University College, Al-Balqa Applied University, Salt, JORDAN",Jordan,NA,University
"Emirates College for Advanced Education, Abu Dhabi, UAE",United Arab Emirates,NA,University
"The Johns Hopkins University School of Medicine. Baltimore, MD, USA",United States,Maryland,Medical Center
"Sarah Cannon Research Institute, Nashville, TN, USA",United States,Tennessee,Industry
"Bursa Uludag University, Department of Biostatistics, Gorukle Kampusu, 16059 NilÃ¼fer/Bursa/Turkey",Turkey,NA,University
"Bursa Uludag University, Department of Urology, Gorukle Kampusu, 16059 NilÃ¼fer/Bursa/Turkey",Turkey,NA,Medical Center
"Brookdale Department of Geriatrics and Palliative Medicine, Icahn School of Medicine at Mount Sinai, New York, New York, USA",United States,New York,Medical Center
"Department of Urology, Renji Hospital, Shanghai Jiao Tong University School of Medicine, 160 Pujian Road, Shanghai 200127, China",China,NA,Medical Center
"The First Clinical Medical School, Southern Medical University, 1023 Shatai South Road, Guangzhou, 510515 Guangdong, China.",China,NA,Medical Center
"Department of Urology, Renji Hospital, Shanghai Jiao Tong University School of Medicine, 160 Pujian Road, Shanghai 200127, China. Electronic address: drchenrui@foxmail.com.",China,NA,Medical Center
"Center for Psychological Sciences, Zhejiang University, Hangzhou 310063, China",China,NA,University
"Computer School, University of South China, No. 28, West Chang Sheng Road, HengYang, 421001, China",China,NA,University
"School of Business, University of Wollongong, NSW, 2522, Australia",Australia,NA,University
"Blockchain Research Lab, Hamburg, Germany",Germany,NA,NA
"Western University, London, Ontario, Canada",Canada,NA,University
"Arthur Labatt Family School of Nursing, Western University, London, Ontario, Canada",Canada,NA,University
"Duquesne University, Pittsburgh, PA, USA",United States,Pennsylvania,University
"NeMO Lab, ASST GOM Niguarda CÃ  Granda Hospital, Milan, Italy",Italy,NA,Medical Center
"Columbia University, New York, NY 10027, USA",United States,New York,University
"Department of Clinical Neurosciences, Division of Neurology, Geneva University Hospitals, Geneva, Switzerland",Switzerland,NA,Medical Center
"Faculty of Medicine, University of Geneva, Geneva, Switzerland",Switzerland,NA,Medical Center
"Department of Clinical Neurosciences, Division of Neurosurgery, Geneva University Hospitals, Geneva, Switzerland",Switzerland,NA,Medical Center
"Department of Pathology and Immunology, Geneva University Hospitals, Geneva, Switzerland",Switzerland,NA,Medical Center
"Department of Neurosurgery, Medical University of Innsbruck, Innsbruck, Austria",Austria,NA,Medical Center
"Department of Computer Science, Collage of Science, Mustansiriyah University, 10052 Baghdad, IRAQ",Iraq,NA,University
"Faculty of Information Science and Technology, the National University of Malaysia, Selangor, MALAYSIA",Malaysia,NA,University
"Department of Medical Psychology, School of Medical Sciences, National University of AsunciÃ³n, San Lorenzo, Paraguay.",Paraguay,NA,Medical Center
"Department of Psychiatry, School of Medical Sciences, National University of AsunciÃ³n, San Lorenzo, Paraguay.",Paraguay,NA,Medical Center
"Department of Forensic Psychiatry, University of Bern, Switzerland.",Switzerland,NA,Medical Center
"Department of Clinical and Experimental Medicine, University of Foggia, Italy.",Italy,NA,Medical Center
"Jan Homolak, Department of Pharmacology, University of Zagreb School of Medicine, Zagreb, Croatia, jan.homolak@mef.hr.",Croatia,NA,Medical Center
"University of Peradeniya, Peradeniya",Sri Lanka,NA,University
"Department of Physical Therapy for Cardiovascular/Respiratory Disorder and Geriatrics, Faculty of Physical Therapy, Cairo University, Giza, Egypt",Egypt,NA,Medical Center
"Freie UniversitÃ¤t Berlin, Institut fÃ¼r Biologie, Altensteinstr. 6, D-14195, Berlin, Germany",Germany,NA,University
